person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Савина Татьяна Юрьевна,Супруг(а),https://declarator.org/office/1729?active-tab=year-2021,Железногорск - городской округ (ЗАТО),Красноярский край,Директор,2021,Жилой дом,36.0,В собственности
Россомахов Сергей Юрьевич,декларант,https://declarator.org/person/63635,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Индонезия.,2017,Квартира,102.0,В пользовании
Чесноков А.В.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.4,В пользовании
Чесноков А.В.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.4,В пользовании
Малышева Е П,декларант,https://declarator.org/person/1104978,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,53.7,В пользовании
